Simplified protein IDs	Gene name	MitoCoP disease association	Functional MitoCoP classification	MitoCoP	MitoCoP identified/ validated	MitoCoP identified	MitoCoP validated	MitoCoP disease gene	References	UniProt: involvement in disease	DisGeNET disease ID (curated associations)	OMIM	Phenotype MIM number	Half-live (HeLa) [h]	Half-life (Hu7) h	tomm40 Importomics	Mean Log2 Ratio tomm40KD/mock	p-Value	Mean mito-copies per cell (≥2/3 Reps)	Mean copy numbers per cell (≥2/3 Reps)	Category	Integral [%]	Membrane-associated [%]
Q99798	ACO2	Central nervous system;Metabolism;Ophthalmic system;Failure to thrive;Cardiovascular system;Ears;Peripheral nervous system	TCA cycle	1				1	"Metodiev, M. D., Gerber, S., Hubert, L., Delahodde, A., Chretien, D., Gerard, X., Amati-Bonneau, P., Giacomotto, M. C., Boddaert, N., Kaminska, A., Desguerre, I., Amiel, J., Rio, M., Kaplan, J., Munnich, A., Rotig, A., Rozet, J. M., and Besmond, C. (2014) Mutations in the tricarboxylic acid cycle enzyme, aconitase 2, cause either isolated or syndromic optic neuropathy with encephalopathy and cerebellar atrophy. J Med Genet 51, 834-838;Spiegel, R., Pines, O., Ta-Shma, A., Burak, E., Shaag, A., Halvardson, J., Edvardson, S., Mahajna, M., Zenvirt, S., Saada, A., Shalev, S., Feuk, L., and Elpeleg, O. (2012) Infantile cerebellar-retinal degeneration associated with a mutation in mitochondrial aconitase, ACO2. Am. J. Hum. Genet.  90, 518-523"	"DISEASE: Infantile cerebellar-retinal degeneration (ICRD) [MIM:614559]: A severe autosomal recessive neurodegenerative disorder characterized by onset between ages 2 and 6 months of truncal hypotonia, athetosis, seizures, and ophthalmologic abnormalities, particularly optic atrophy and retinal degeneration. Affected individuals show profound psychomotor retardation, with only some achieving rolling, sitting, or recognition of family. Brain MRI shows progressive cerebral and cerebellar degeneration. {ECO:0000269|PubMed:22405087, ECO:0000269|PubMed:25351951}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Optic atrophy 9 (OPA9) [MIM:616289]: A condition that features progressive visual loss in association with optic atrophy. Atrophy of the optic disk indicates a deficiency in the number of nerve fibers which arise in the retina and converge to form the optic disk, optic nerve, optic chiasm and optic tracts. {ECO:0000269|PubMed:25351951}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0006142;C0035222;C0751651;C2239176;C3281192;C3714756;C4225384	100850	616289-614559	109.3033353	NaN	Class 1	-1.836912167	0.000164092	895284.1956	968916.3333	Soluble	11.09067612	34.26581767
Q4G176	ACSF3	Central nervous system;Metabolism	Lipid metabolism	1				1		"DISEASE: Combined malonic and methylmalonic aciduria (CMAMMA) [MIM:614265]: A metabolic disease characterized by malonic and methylmalonic aciduria, with urinary excretion of much larger amounts of methylmalonic acid than malonic acid, in the presence of normal malonyl-CoA decarboxylase activity. Clinical features include coma, ketoacidosis, hypoglycemia, failure to thrive, microcephaly, dystonia, axial hypotonia and/or developmental delay, and neurologic manifestations including seizures, psychiatric disease and/or cognitive decline. {ECO:0000269|PubMed:21841779}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0220994;C0268583;C0342793;C1855119;C3280314;C3714756	614245	614265	75.52873387	NaN	Class 1	-1.790201884	9.82281E-05	150799.3571	86325.33333	Peripheral	8.674433409	86.74926651
O60488	ACSL4	Central nervous system	Lipid metabolism	1				1		"DISEASE: Alport syndrome with mental retardation, midface hypoplasia and elliptocytosis (ATS-MR) [MIM:300194]: A X-linked contiguous gene deletion syndrome characterized by glomerulonephritis, sensorineural hearing loss, mental retardation, midface hypoplasia and elliptocytosis. {ECO:0000269|PubMed:9480748}. Note=The gene represented in this entry may be involved in disease pathogenesis.;DISEASE: Mental retardation, X-linked 63 (MRX63) [MIM:300387]: A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. Intellectual deficiency is the only primary symptom of non-syndromic X-linked mental retardation, while syndromic mental retardation presents with associated physical, neurological and/or psychiatric manifestations. {ECO:0000269|PubMed:11889465}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0003865;C0011573;C0011581;C0025193;C0033578;C0036341;C0041696;C0041834;C0086133;C0152013;C0282126;C0376358;C0971858;C0993582;C1527249;C1845672;C1846242;C2239176;C2931498;C3714756	300157	300387	25.18861042	37.84076614	Class 1	-1.016827621	0.001157933	178066.5663	246606.3333	Peripheral	5.298998057	96.92799636
Q96PN6	ADCY10	Metabolism;Skeletal system;Kidney and urinary tract	Other known processes	1				1		"DISEASE: Hypercalciuria absorptive 2 (HCA2) [MIM:143870]: A common type of hypercalciuria, a condition characterized by excessive urinary calcium excretion. Absorptive hypercalciuria is due to gastrointestinal hyperabsorption of calcium and is a frequent cause of calcium oxalate nephrolithiasis. {ECO:0000269|PubMed:11932268}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry."	C0342639;C0543800	605205	143870	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0
Q9NX46	ADPRHL2	Central nervous system;Ophthalmic system;Pulmonary system ;Ears;Peripheral nervous system	DNA-related processes	1				1		"DISEASE: Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures (CONDSIAS) [MIM:618170]: An autosomal recessive neurodegenerative disorder characterized by pediatric onset of progressive brain atrophy, developmental regression, and seizures in association with periods of stress, such as infections. {ECO:0000269|PubMed:30100084, ECO:0000269|PubMed:30401461}. Note=The disease is caused by mutations affecting the gene represented in this entry."		610624	618170	379.1161278	NaN	Class 1	-1.98513931	0.006300722	27337.93958	235079.3333	Peripheral	7.100605087	93.10112019
Q9Y4W6	AFG3L2	Central nervous system;Ophthalmic system;Peripheral nervous system	Protein maturation & folding	1				1	"Di Bella, D., Lazzaro, F., Brusco, A., Plumari, M., Battaglia, G., Pastore, A., Finardi, A., Cagnoli, C., Tempia, F., Frontali, M., Veneziano, L., Sacco, T., Boda, E., Brussino, A., Bonn, F., Castellotti, B., Baratta, S., Mariotti, C., Gellera, C., Fracasso, V., Magri, S., Langer, T., Plevani, P., Di Donato, S., Muzi-Falconi, M., and Taroni, F. (2010) Mutations in the mitochondrial protease gene AFG3L2 cause dominant hereditary ataxia SCA28. Nat Genet 42, 313-321"	"DISEASE: Spastic ataxia 5, autosomal recessive (SPAX5) [MIM:614487]: A neurodegenerative disorder characterized by early onset spasticity, peripheral neuropathy, ptosis, oculomotor apraxia, dystonia, cerebellar atrophy, and progressive myoclonic epilepsy. {ECO:0000269|PubMed:22022284}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Spinocerebellar ataxia 28 (SCA28) [MIM:610246]: Spinocerebellar ataxia is a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. SCA28 is an autosomal dominant cerebellar ataxia (ADCA) with a slow progressive course and no evidence of sensory involvement or cognitive impairment. {ECO:0000269|PubMed:20208537, ECO:0000269|PubMed:20354562, ECO:0000269|PubMed:20725928, ECO:0000269|PubMed:24293060, ECO:0000269|PubMed:26677414, ECO:0000269|PubMed:29053796}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0004138;C0037773;C0087012;C0751651;C0751776;C0751777;C0751778;C0751779;C0751780;C0751781;C0751782;C0752120;C0752121;C0752122;C0752123;C0752124;C0752125;C1853249;C3280977;C3714756	604581	614487-610246	165.849039	135.1975967	Class 1	-2.495194207	2.05027E-05	335174.3017	240640.6667	Integral	89.67208785	97.3577391
Q53H12	AGK	Central nervous system;Metabolism;Ophthalmic system;Cardiovascular system;Pulmonary system ;Muscular system;Skeletal system;Hematologic system;Reproductive system	Protein import & biogenesis	1				1	"Calvo, S. E., Compton, A. G., Hershman, S. G., Lim, S. C., Lieber, D. S., Tucker, E. J., Laskowski, A., Garone, C., Liu, S., Jaffe, D. B., Christodoulou, J., Fletcher, J. M., Bruno, D. L., Goldblatt, J., Dimauro, S., Thorburn, D. R., and Mootha, V. K. (2012) Molecular diagnosis of infantile mitochondrial disease with targeted next-generation sequencing. Sci Transl Med 4, 118ra110;Mayr, J. A., Haack, T. B., Graf, E., Zimmermann, F. A., Wieland, T., Haberberger, B., Superti-Furga, A., Kirschner, J., Steinmann, B., Baumgartner, M. R., Moroni, I., Lamantea, E., Zeviani, M., Rodenburg, R. J., Smeitink, J., Strom, T. M., Meitinger, T., Sperl, W., and Prokisch, H. (2012) Lack of the mitochondrial protein acylglycerol kinase causes Sengers syndrome. Am. J. Hum. Genet.  90, 314-320"	"DISEASE: Cataract 38 (CTRCT38) [MIM:614691]: An opacification of the crystalline lens of the eye becoming evident at birth. It frequently results in visual impairment or blindness. Opacities vary in morphology, are often confined to a portion of the lens, and may be static or progressive. In general, the more posteriorly located and dense an opacity, the greater the impact on visual function. {ECO:0000269|PubMed:22415731}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Mitochondrial DNA depletion syndrome 10 (MTDPS10) [MIM:212350]: An autosomal recessive mitochondrial disorder characterized by congenital cataracts, hypertrophic cardiomyopathy, skeletal myopathy, exercise intolerance, and lactic acidosis. Mental development is normal, but affected individuals may die early from cardiomyopathy. {ECO:0000269|PubMed:22277967, ECO:0000269|PubMed:22284826, ECO:0000269|PubMed:23266196, ECO:0000269|PubMed:25208612, ECO:0000269|PubMed:28712726}. Note=The disease is caused by mutations affecting the gene represented in this entry. The TIM22 complex and import of proteins into mitochondrion are affected in patients suffering of MTDPS10 (PubMed:28712726). {ECO:0000269|PubMed:28712726}."	C0086543;C0266539;C0282528;C0751651;C1859317;C3553494;C3714756	610345	614691-212350	214.7486962	NaN	Class 1	-1.586570473	9.30978E-05	780931.1988	788975.6667	Integral	96.78570487	97.38690111
O95831	AIFM1	Central nervous system;Metabolism;Muscular system;Peripheral nervous system	Protein import & biogenesis	1				1	"Ghezzi, D., Sevrioukova, I., Invernizzi, F., Lamperti, C., Mora, M., D'Adamo, P., Novara, F., Zuffardi, O., Uziel, G., and Zeviani, M. (2010) Severe X-linked mitochondrial encephalomyopathy associated with a mutation in apoptosis-inducing factor. Am. J. Hum. Genet. 86, 639-649"	"DISEASE: Combined oxidative phosphorylation deficiency 6 (COXPD6) [MIM:300816]: A mitochondrial disease resulting in a neurodegenerative disorder characterized by psychomotor delay, hypotonia, areflexia, muscle weakness and wasting. Some patients manifest prenatal ventriculomegaly and severe postnatal encephalomyopathy. {ECO:0000269|PubMed:20362274, ECO:0000269|PubMed:22019070}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Cowchock syndrome (COWCK) [MIM:310490]: An X-linked recessive neuromuscular disorder characterized by early childhood onset of a slowly progressive axonal sensorimotor neuropathy associated in some patients with sensorineural deafness and cognitive impairment. {ECO:0000269|PubMed:23217327}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Deafness, X-linked, 5 (DFNX5) [MIM:300614]: A form of hearing loss characterized by absent or severely abnormal auditory brainstem response, abnormal middle ear reflexes, abnormal speech discrimination, loss of outer hair cell function, and cochlear nerve hypoplasia. DFNX5 patients manifest auditory neuropathy with childhood onset, associated with distal sensory impairment affecting the peripheral nervous system. {ECO:0000269|PubMed:25986071}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0002152;C0007959;C0011853;C0011854;C0019193;C0020179;C0023520;C0027540;C0035305;C0038433;C0205734;C0339546;C0342302;C0393574;C0751207;C0751208;C0751651;C0795910;C0860207;C1262760;C1845095;C1846148;C3151753;C3658290;C3714756;C3837958;C4277682;C4279912	300169	300816-310490-300614	115.2374664	234.2093459	Class 1	-1.035124618	0.000787843	1214670.649	1558916.667	Peripheral	14.66133584	69.32317748
P54819;P54819;P54819	AK2	Ears;Liver;Gastrointestinal system;Hematologic system	Nucleotide/ nucleoside metabolism	1				1		"DISEASE: Reticular dysgenesis (RDYS) [MIM:267500]: A fatal form of severe combined immunodeficiency, characterized by absence of granulocytes, almost complete deficiency of lymphocytes in peripheral blood, hypoplasia of the thymus and secondary lymphoid organs, and lack of innate and adaptive humoral and cellular immunity, leading to fatal septicemia within days after birth. In bone marrow of individuals with reticular dysgenesis, myeloid differentiation is blocked at the promyelocytic stage, whereas erythro- and megakaryocytic maturation is generally normal. Inheritance is autosomal recessive. {ECO:0000269|PubMed:19043416, ECO:0000269|PubMed:19043417}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0011052;C0011053;C0085110;C0086395;C0242583;C0272167;C0581883;C0751068;C1282908;C2700553;C3665473;C3714756;C4082305	103020	267500	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P22557	ALAS2	Metabolism;Gastrointestinal system;Hematologic system;Integumentary system	Cofactor metabolism	1				1		"DISEASE: Anemia, sideroblastic, 1 (SIDBA1) [MIM:300751]: A form of sideroblastic anemia that shows a variable hematologic response to pharmacologic doses of pyridoxine. Sideroblastic anemia is characterized by anemia of varying severity, hypochromic peripheral erythrocytes, systemic iron overload secondary to chronic ineffective erythropoiesis, and the presence of bone marrow ringed sideroblasts. Sideroblasts are characterized by iron-loaded mitochondria clustered around the nucleus. {ECO:0000269|PubMed:10029606, ECO:0000269|PubMed:10577279, ECO:0000269|PubMed:12031592, ECO:0000269|PubMed:12393718, ECO:0000269|PubMed:1570328, ECO:0000269|PubMed:19731322, ECO:0000269|PubMed:21252495, ECO:0000269|PubMed:21309041, ECO:0000269|PubMed:8107717, ECO:0000269|PubMed:9858242}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Erythropoietic protoporphyria, X-linked dominant (XLDPT) [MIM:300752]: A form of porphyria. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. XLDPT is characterized biochemically by a high proportion of zinc-protoporphyrin in erythrocytes, in which a mismatch between protoporphyrin production and the heme requirement of differentiating erythroid cells leads to overproduction of protoporphyrin in amounts sufficient to cause photosensitivity and liver disease. {ECO:0000269|PubMed:18760763}. Note=The disease is caused by mutations affecting the gene represented in this entry. Gain of function mutations in ALS2 are responsible for XLDPT, but they can also be a possible aggravating factor in congenital erythropoietic porphyria and other erythropoietic disorders caused by mutations in other genes (PubMed:21309041). {ECO:0000269|PubMed:21309041}."	C0002896;C0004138;C0010828;C0019207;C0019208;C0023904;C0086404;C0158995;C0221018;C2677889	301300	300751-300752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
